,ExpressId,GlobalId,Class,PredefinedType,Name,Level,x_coordinate,y_coordinate,z_coordinate,Type,Material,SPOT_IFC.Inhoud,Qto_SpaceBaseQuantities.GrossVolume,Pset_BuildingSystemCommon.Reference,Pset_AirSideSystemInformation.id,Pset_SpaceCommon.id,Pset_BuildingCommon.NumberOfStoreys,Pset_SpaceCommon.IsExternal,Qto_SpaceBaseQuantities.Height,Pset_BuildingElementProxyCommon.Reference,Pset_SpaceHeaterTypeCommon.Reference,Pset_BuildingStoreyCommon.Reference,Pset_SiteCommon.id,Pset_BuildingStoreyCommon.id,Qto_SpaceBaseQuantities.NetVolume,Pset_SpaceHeaterTypeCommon.id,Pset_AirSideSystemInformation.Name,Pset_BuildingStoreyCommon.AboveGround,Pset_BuildingCommon.id,Pset_BuildingSystemCommon.id,Pset_SpaceCommon.Reference,Pset_BuildingCommon.Reference,SPOT_IFC.Oppervlakte,Pset_BuildingCommon.IsLandmarked,Pset_BuildingElementProxyCommon.id,Qto_SpaceBaseQuantities.id,Pset_BuildingElementProxyCommon.IsExternal,SPOT_IFC.id,Pset_SiteCommon.Reference
4807,984875,2nyX1YPDX1rPAukSskC5ly,IfcSpace,SPACE,esco A1-97,,-5913.808671306053,99292.51637243737,50300.0,esco A1-97,,,0.9197644799987716,,984973.0,984975.0,,False,2438.4,,esco 9467,,,,0.9197644799987731,984976.0,esco,,,,esco 9467,,0.3771999999994962,,,984986.0,,984978.0,
4808,984998,2nyX1YPDX1rPAukSskC5la,IfcSpace,SPACE,esco A1-96,,-5913.808671306053,99292.51637243737,50300.0,esco A1-96,,,0.9197644799987523,,985096.0,985098.0,,False,2438.4,,esco 9468,,,,0.9197644799987491,985099.0,esco,,,,esco 9468,,0.3771999999994883,,,985109.0,,985101.0,
4809,985121,2nyX1YPDX1rPAukSskC5li,IfcSpace,SPACE,meterkast A1-96,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-96,,,0.88440768000166,,985219.0,985221.0,,False,2438.4,,meterkast 9469,,,,0.8844076800016566,985222.0,meterkast,,,,meterkast 9469,,0.36270000000068076,,,985232.0,,985224.0,
4810,985244,2nyX1YPDX1rPAukSskC5iK,IfcSpace,SPACE,meterkast A1-95,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-95,,,0.7798003199998469,,985322.0,985324.0,,False,2438.4,,meterkast 9470,,,,0.7798003199998401,985325.0,meterkast,,,,meterkast 9470,,0.3197999999999372,,,985335.0,,985327.0,
4811,985347,2nyX1YPDX1rPAukSskC5iS,IfcSpace,SPACE,esco A1-95,,-5913.808671306053,99292.51637243737,50300.0,esco A1-95,,,0.7322515199873738,,985425.0,985427.0,,False,2438.4,,esco 9471,,,,0.7322515199873804,985428.0,esco,,,,esco 9471,,0.3002999999948219,,,985438.0,,985430.0,
4812,985450,2nyX1YPDX1rPAukSskC5i4,IfcSpace,SPACE,technische ruimte A1-95,,-5913.808671306053,99292.51637243737,50300.0,technische ruimte A1-95,,,2.079467520005603,,985548.0,985550.0,,False,2438.4,,technische ruimte 9472,,,,2.079467520005605,985551.0,technische ruimte,,,,technische ruimte 9472,,0.8528000000022978,,,985561.0,,985553.0,
4813,985573,2nyX1YPDX1rPAukSskC5iC,IfcSpace,SPACE,meterkast A1-94,,-5913.808671306053,99292.51637243737,50300.0,meterkast A1-94,,,0.7398105599967314,,985666.0,985668.0,,False,2438.4,,meterkast 9473,,,,0.7398105599967304,985669.0,meterkast,,,,meterkast 9473,,0.3033999999986595,,,985679.0,,985671.0,
4814,985691,2nyX1YPDX1rPAukSskC5Mp,IfcSpace,SPACE,meterkast A1-105,,-5913.808671306053,99292.51637243737,53300.0,meterkast A1-105,,,0.7398105599957834,,985784.0,985786.0,,False,2438.4,,meterkast 9474,,,,0.7398105599957836,985787.0,meterkast,,,,meterkast 9474,,0.3033999999982707,,,985797.0,,985789.0,
4815,985809,2nyX1YPDX1rPAukSskC5MX,IfcSpace,SPACE,technische ruimte A1-104,,-5913.808671306053,99292.51637243737,53300.0,technische ruimte A1-104,,,2.0794675199084782,,985919.0,985921.0,,False,2438.4,,technische ruimte 9475,,,,2.0794675199084782,985922.0,technische ruimte,,,,technische ruimte 9475,,0.8527999999624665,,,985932.0,,985924.0,
4816,985944,2nyX1YPDX1rPAukSskC5Mh,IfcSpace,SPACE,esco A1-104,,-5913.808671306053,99292.51637243737,53300.0,esco A1-104,,,0.7322515200860952,,986022.0,986024.0,,False,2438.4,,esco 9476,,,,0.7322515200860928,986025.0,esco,,,,esco 9476,,0.30030000003530805,,,986035.0,,986027.0,
